model,region,variant,alpha,tau,gap,Q,r_PR,omega,G_max,t_star,nu,horizon
tcr,amplifying,A,-0.05,20.0,10.0,0.0,3.603280684828333,0.07472344364939996,1.3015930110713183,7.008760951188987,0.6722926454528138,400.0
tcr,amplifying,A_null,-0.05,20.0,10.0,0.0,4.175257731958762,-0.05,1.0,0.0,0.0,400.0
nfkb,amplifying,A,-0.012479144958665724,80.13369532225711,0.0,3.8626134299104673,2.2123584776515344,0.00856985827427413,1.0724318783603015,14.04094786622778,0.46579688631485283,1602.6739064451424
nfkb,amplifying,A_null,-0.012479144958665724,80.13369532225711,0.0,3.862613429910467,2.450064351458416,-0.012479144958665724,1.0,0.0,0.0,1602.6739064451424
murphy_miller,amplifying,A,-0.65,1.5384615384615383,0.0,2.9098892799042666,1.095306171074577,3.707177985806869,2.988442975082458,0.6546644844517184,0.9511539459653323,30.769230769230766
murphy_miller,amplifying,A_null,-0.65,1.5384615384615383,0.0,2.9098892799042666,2.0,-0.65,1.0,0.0,0.0,30.769230769230766
predator_prey,amplifying,A,-0.11715728752538097,8.53553390593274,4.828427124746191,0.0,1.1904761904761905,0.012310562561766061,1.006876277150623,0.8546216676778713,0.6546536707079764,170.71067811865478
predator_prey,amplifying,A_null,-0.11715728752538097,8.53553390593274,4.828427124746191,0.0,1.3333333333333335,-0.11715728752538097,1.0,0.0,0.0,170.71067811865478
repressilator,oscillatory,A,-0.30319604553856405,3.298196050755577,0.0,3.9805923256628004,2.7007452578976356,-0.3031960455385639,1.0,0.0,2.457158757679307e-08,65.96392101511154
repressilator,oscillatory,A_null,-0.30319604553856405,3.298196050755577,0.0,3.9805923256628004,2.7007452578976374,-0.30319604553856405,1.0,0.0,0.0,65.96392101511154
repressilator_het,oscillatory,A,-0.260193748088152,3.843289884356508,0.0,4.3514797863234085,2.5493146622034306,0.09477867803984892,1.0395878168272323,0.6734175016394381,0.2705299966146651,76.86579768713015
repressilator_het,oscillatory,A_null,-0.260193748088152,3.843289884356508,0.0,4.3514797863234085,2.6074063726999106,-0.260193748088152,1.0,0.0,0.0,76.86579768713015
goodwin,oscillatory,A,-0.4517363630498353,2.213680548647089,0.0,2.1021563744148293,2.647197467348171,-0.3407831200973092,1.0,0.0,0.1395122443586041,44.27361097294178
goodwin,oscillatory,A_null,-0.4517363630498353,2.213680548647089,0.0,2.102156374414829,2.669480410009355,-0.4517363630498353,1.0,0.0,0.0,44.27361097294178
selkov,oscillatory,A,-0.12131578947368425,8.242950108459867,0.0,3.4510553506436437,1.3547191375861876,0.2943974780264323,1.6157027281397351,2.6823116748430107,0.8032937584805518,164.85900216919734
selkov,oscillatory,A_null,-0.12131578947368425,8.242950108459867,0.0,3.451055350643643,1.9999999999999998,-0.12131578947368425,1.0,0.0,1.2086437726822665e-08,164.85900216919734
toggle,toggle,A,-0.8761360673585539,1.141375223844946,0.14137522384494575,0.0,1.991320350334667,-0.8761360673585539,1.0,0.0,0.0,22.827504476898916
toggle,toggle,A_null,-0.8761360673585539,1.141375223844946,0.14137522384494575,0.0,1.991320350334667,-0.8761360673585539,1.0,0.0,0.0,22.827504476898916
toggle_het,toggle,A,-0.7999998591409242,1.2500002200923448,0.25000022009220746,0.0,1.9397944596690397,-0.7399218938845793,1.0,0.0,0.1916002129637749,25.000004401846894
toggle_het,toggle,A_null,-0.7999998591409242,1.2500002200923448,0.25000022009220746,0.0,1.9756097183899028,-0.7999998591409242,1.0,0.0,0.0,25.000004401846894
relay,contractive,A,-0.20000000000000004,4.999999999999999,1.4644660940672614,0.0,2.694029850746269,-0.19999999999999998,1.0,0.0,2.229607111456169e-08,99.99999999999999
relay,contractive,A_null,-0.20000000000000004,4.999999999999999,1.4644660940672614,0.0,2.694029850746268,-0.20000000000000004,1.0,0.0,0.0,99.99999999999999
relay_het,contractive,A,-0.19332559881821898,5.172620729551104,1.5756840814837936,0.0,2.6900149031296574,-0.19332559881821895,1.0,0.0,0.0,103.45241459102209
relay_het,contractive,A_null,-0.19332559881821898,5.172620729551104,1.5756840814837936,0.0,2.6900149031296565,-0.19332559881821898,1.0,0.0,1.286304695024803e-08,103.45241459102209
