model,display_name,nu_baseline,nu_p05,nu_p95,nu_min,nu_max,nu_frac_sign_flip,omega_baseline,omega_p05,omega_p95,omega_min,omega_max,omega_frac_sign_flip,G_max_baseline,G_max_p05,G_max_p95,G_max_min,G_max_max,G_max_frac_sign_flip
tcr,TCR proofreading,0.6723,0.6488,0.8627,0.5792,0.9067,,0.0747,0.0204,0.4056,-0.0124,0.6714,0.010,1.3016,1.0332,2.6368,1.0000,3.6510,
predator_prey,Neubert–Caswell predator–prey,0.6547,0.6328,0.8374,0.6325,0.9081,,0.0123,0.0002,0.2014,0.0000,0.4025,0.000,1.0069,1.0000,1.3042,1.0000,1.6877,
murphy_miller,Murphy–Miller balanced E–I,0.9512,0.9511,0.9822,0.9510,0.9907,,3.7072,3.7046,6.7525,3.7000,9.6314,0.000,2.9884,2.9868,4.9212,2.9840,6.7775,
selkov,Selkov glycolysis,0.8033,0.2696,0.9672,0.2177,0.9870,,0.2944,-0.0350,1.0518,-0.0526,1.7728,0.122,1.6157,1.0000,3.8284,1.0000,6.0601,
nfkb,NF-κB / IκB,0.4658,0.3711,0.8583,0.3361,0.9272,,0.0086,0.0011,0.0745,-0.0048,0.1278,0.036,1.0724,1.0036,2.1443,1.0000,2.6026,
repressilator_het,Repressilator (heterogeneous),0.2705,0.2957,0.7979,0.2709,0.8625,,0.0948,0.0006,1.3289,-0.0916,2.0298,0.048,1.0396,1.0000,2.0483,1.0000,2.9114,
repressilator,Repressilator (symmetric),0.0000,0.1462,0.7751,0.0165,0.8664,,-0.3032,-0.1691,1.1112,-0.2890,1.8033,0.806,1.0000,1.0000,1.7357,1.0000,2.2557,
goodwin,Goodwin,0.1395,0.1254,0.7790,0.0386,0.8830,,-0.3408,-0.3528,0.8082,-0.4226,1.5723,0.532,1.0000,1.0000,1.4666,1.0000,1.9795,
toggle,Toggle (symmetric),0.0000,0.0028,0.1268,0.0000,0.1640,,-0.8761,-0.8761,-0.8329,-0.8761,-0.8114,0.000,1.0000,1.0000,1.0000,1.0000,1.0000,
toggle_het,Toggle (heterogeneous),0.1916,0.0797,0.4453,0.0550,0.5899,,-0.7399,-0.7877,-0.5662,-0.7940,-0.4216,0.000,1.0000,1.0000,1.0000,1.0000,1.0000,
relay,Relay (symmetric),0.0000,0.1289,0.6122,0.0359,0.7146,,-0.2000,-0.1888,0.1517,-0.1991,0.3181,0.222,1.0000,1.0000,1.0786,1.0000,1.2255,
relay_het,Relay (heterogeneous),0.0000,0.1321,0.5998,0.0374,0.7485,,-0.1933,-0.1814,0.1349,-0.1922,0.5041,0.252,1.0000,1.0000,1.0620,1.0000,1.3296,
